code	name	type	scope	status
bcz	Bainouk-Gunyaamolo	living	individual	pending
bda	Bayot	living	individual	pending
bdb	Basap	living	individual	pending
bdc	Emberá-Baudó	living	individual	pending
bdd	Bunama	living	individual	pending
bde	Bade	living	individual	pending
bdf	Biage	living	individual	pending
bdg	Bonggi	living	individual	pending
bdh	Baka (South Sudan)	living	individual	pending
bdi	Burun	living	individual	pending
bdj	Bai (South Sudan)	living	individual	pending
bdk	Budukh	living	individual	pending
bdl	Indonesian Bajau	living	individual	pending
bdm	Buduma	living	individual	pending
bdn	Baldemu	living	individual	pending
bdo	Morom	living	individual	pending
bdp	Bende	living	individual	pending
bdq	Bahnar	living	individual	pending
bdr	West Coast Bajau	living	individual	pending
bds	Burunge	living	individual	pending
bdt	Bokoto	living	individual	pending
bdu	Oroko	living	individual	pending
bdv	Bodo Parja	living	individual	pending
bdw	Baham	living	individual	pending
bdx	Budong-Budong	living	individual	pending
bdy	Bandjalang	living	individual	pending
bdz	Badeshi	living	individual	pending
bea	Beaver	living	individual	pending
beb	Bebele	living	individual	pending
bec	Iceve-Maci	living	individual	pending
bed	Bedoanas	living	individual	pending
bee	Byangsi	living	individual	pending
bef	Benabena	living	individual	pending
beg	Belait	living	individual	pending
beh	Biali	living	individual	pending
bei	Bekati'	living	individual	pending
bej	Beja	living	individual	pending
bek	Bebeli	living	individual	pending
bel	Belarusian	living	individual	pending
bem	Bemba (Zambia)	living	individual	pending
ben	Bengali	living	individual	seeded
beo	Beami	living	individual	pending
bep	Besoa	living	individual	pending
beq	Beembe	living	individual	pending
bes	Besme	living	individual	pending
bet	Guiberoua Béte	living	individual	pending
beu	Blagar	living	individual	pending
bev	Daloa Bété	living	individual	pending
bew	Betawi	living	individual	pending
bex	Jur Modo	living	individual	pending
bey	Beli (Papua New Guinea)	living	individual	pending
bez	Bena (Tanzania)	living	individual	pending
bfa	Bari	living	individual	pending
bfb	Pauri Bareli	living	individual	pending
bfc	Panyi Bai	living	individual	pending
bfd	Bafut	living	individual	pending
bfe	Betaf	living	individual	pending
bff	Bofi	living	individual	pending
bfg	Busang Kayan	living	individual	pending
bfh	Blafe	living	individual	pending
bfi	British Sign Language	living	individual	pending
bfj	Bafanji	living	individual	pending
bfk	Ban Khor Sign Language	living	individual	pending
bfl	Banda-Ndélé	living	individual	pending
bfm	Mmen	living	individual	pending
bfn	Bunak	living	individual	pending
bfo	Malba Birifor	living	individual	pending
bfp	Beba	living	individual	pending
bfq	Badaga	living	individual	pending
bfr	Bazigar	living	individual	pending
bfs	Southern Bai	living	individual	pending
bft	Balti	living	individual	pending
bfu	Gahri	living	individual	pending
bfw	Bondo	living	individual	pending
bfx	Bantayanon	living	individual	pending
bfy	Bagheli	living	individual	pending
bfz	Mahasu Pahari	living	individual	pending
bga	Gwamhi-Wuri	living	individual	pending
bgb	Bobongko	living	individual	pending
bgc	Haryanvi	living	individual	pending
bgd	Rathwi Bareli	living	individual	pending
bge	Bauria	living	individual	pending
bgf	Bangandu	living	individual	pending
bgg	Bugun	living	individual	pending
bgi	Giangan	living	individual	pending
bgj	Bangolan	living	individual	pending
bgk	Bit	living	individual	pending
bgl	Bo (Laos)	living	individual	pending
bgn	Western Balochi	living	individual	pending
bgo	Baga Koga	living	individual	pending
bgp	Eastern Balochi	living	individual	pending
bgq	Bagri	living	individual	pending
bgr	Bawm Chin	living	individual	pending
bgs	Tagabawa	living	individual	pending
bgt	Bughotu	living	individual	pending
bgu	Mbongno	living	individual	pending
bgv	Warkay-Bipim	living	individual	pending
bgw	Bhatri	living	individual	pending
bgx	Balkan Gagauz Turkish	living	individual	pending
bgy	Benggoi	living	individual	pending
bgz	Banggai	living	individual	pending
bha	Bharia	living	individual	pending
bhb	Bhili	living	individual	pending
bhc	Biga	living	individual	pending
bhd	Bhadrawahi	living	individual	pending
bhe	Bhaya	living	individual	pending
bhf	Odiai	living	individual	pending
bhg	Binandere	living	individual	pending
bhh	Bukharic	living	individual	pending
bhi	Bhilali	living	individual	pending
bhj	Bahing	living	individual	pending
bhl	Bimin	living	individual	pending
bhm	Bathari	living	individual	pending
bhn	Bohtan Neo-Aramaic	living	individual	pending
bho	Bhojpuri	living	individual	seeded
bhp	Bima	living	individual	pending
bhq	Tukang Besi South	living	individual	pending
bhr	Bara Malagasy	living	individual	pending
bhs	Buwal	living	individual	pending
bht	Bhattiyali	living	individual	pending
bhu	Bhunjia	living	individual	pending
bhv	Bahau	living	individual	pending
bhw	Biak	living	individual	pending
bhx	Bhalay	living	individual	pending
bhy	Bhele	living	individual	pending
bhz	Bada (Indonesia)	living	individual	pending
bia	Badimaya	living	individual	pending
bib	Bissa	living	individual	pending
bic	Bikaru	living	individual	pending
bid	Bidiyo	living	individual	pending
bie	Bepour	living	individual	pending
bif	Biafada	living	individual	pending
big	Biangai	living	individual	pending
bij	Vaghat-Ya-Bijim-Legeri	living	individual	pending
bik	Bikol	living	macrolanguage	pending
bil	Bile	living	individual	pending
bim	Bimoba	living	individual	pending
bin	Bini	living	individual	pending
bio	Nai	living	individual	pending
bip	Bila	living	individual	pending
biq	Bipi	living	individual	pending
bir	Bisorio	living	individual	pending
bis	Bislama	living	individual	pending
bit	Berinomo	living	individual	pending
biu	Biete	living	individual	pending
biv	Southern Birifor	living	individual	pending
biw	Kol (Cameroon)	living	individual	pending
bix	Bijori	living	individual	pending
biy	Birhor	living	individual	pending
biz	Baloi	living	individual	pending
bja	Budza	living	individual	pending
bjb	Banggarla	extinct	individual	pending
bjc	Bariji	living	individual	pending
bje	Biao-Jiao Mien	living	individual	pending
bjf	Barzani Jewish Neo-Aramaic	living	individual	pending
bjg	Bidyogo	living	individual	pending
bjh	Bahinemo	living	individual	pending
bji	Burji	living	individual	pending
bjj	Kanauji	living	individual	pending
bjk	Barok	living	individual	pending
bjl	Bulu (Papua New Guinea)	living	individual	pending
bjm	Bajelani	living	individual	pending
bjn	Banjar	living	individual	pending
bjo	Mid-Southern Banda	living	individual	pending
bjp	Fanamaket	living	individual	pending
bjr	Binumarien	living	individual	pending
bjs	Bajan	living	individual	pending
bjt	Balanta-Ganja	living	individual	pending
bju	Busuu	living	individual	pending
bjv	Bedjond	living	individual	pending
bjw	Bakwé	living	individual	pending
